bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,url
29,,39.6,22.9,1103532328,Kitchen Beauty Çocuklar İçin Silinebilir Çizim Defteri 6 Adet Kalem Hediyeli - Bebekler İçin Aktivite Oyuncak Seti,Kitchen Beauty,Eymen Ticaret,199.99,,,InStock,,4.1,157,,63,"[""Kargo Bedava""]",14 dakika 43 saniye içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/kitchen-beauty/cocuklar-icin-silinebilir-cizim-defteri-6-adet-kalem-hediyeli-bebekler-icin-aktivite-oyuncak-seti-p-1103532328?boutiqueId=61&merchantId=137544
30,,40.1,19.9,1134031687,Pico Baby Kaydırmaz Taban / Unisex Bebek Çocuk Deniz Ayakkabısı / Havuz Patiği,Pico Baby,Pico Baby,199.89,,,InStock,,4.4,,,37,"[""20 TL Kupon"",""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/pico-baby/kaydirmaz-taban-unisex-bebek-cocuk-deniz-ayakkabisi-havuz-patigi-p-1134031687?boutiqueId=61&merchantId=1131766
31,,56.3,22,114296689,Genel Markalar 5 Li Beyaz Hobistan Bebek Atlet Body Ribana Beyaz Modaicon,Genel Markalar,Organic product DimpleBaby,199,,,InStock,Son 3 günde 250+ ürün satıldı!,4,,,1530,"[""20 TL Kupon"",""Kargo Bedava""]",14 dakika 38 saniye içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/genel-markalar/5-li-beyaz-hobistan-bebek-atlet-body-ribana-beyaz-modaicon-p-114296689?boutiqueId=61&merchantId=768467
33,,42.9,9.6,803899053,ENCİVA İsimli Özel Doğal Bebek Tarak Ve Ahşap Anı Küpü Seti Bebek Hediyelik Bakım Fotoğraf Yeni Doğan,ENCİVA,ENCİVAN,333.46,,,InStock,,4,4101,,25508,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,https://www.trendyol.com/enciva/isimli-ozel-dogal-bebek-tarak-ve-ahsap-ani-kupu-seti-bebek-hediyelik-bakim-fotograf-yeni-dogan-p-803899053?boutiqueId=61&merchantId=1188755
34,,42.9,8,6877587,Furkan Toys Cool Wheels Led Işıklı 3 Tekerlekli Yükseklik Ayarlı Twist Scooter,Furkan Toys,Oyuncak Paketim,927,,,InStock,,4.6,,,1715,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/furkan-toys/cool-wheels-led-isikli-3-tekerlekli-yukseklik-ayarli-twist-scooter-p-6877587?boutiqueId=61&merchantId=109486
39,,24,13.5,1107222295,"Kids Yazlık Broklyn Usa Ny Baskılı Erkek Kız Çocuk Siyah Şort, Beyaz T-Shirt Takım (1 YAŞ BÜYÜK ALINIZ) bb",Kids,Birdirbir Kids,180,,,InStock,,3.4,,,102,"[""20 TL Kupon"",""Sepette %1 İndirim"",""Kargo Bedava""]",11 saat 14 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/kids/yazlik-broklyn-usa-ny-baskili-erkek-kiz-cocuk-siyah-sort-beyaz-t-shirt-takim-1-yas-buyuk-aliniz-bb-p-1107222295?boutiqueId=61&merchantId=1007155
42,,8,26,1105485377,H&M 3 Parçalı Pamuklu Set,H&M,H&M,1149,,,InStock,,4.9,9,,3,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,https://www.trendyol.com/h-m/3-parcali-pamuklu-set-p-1105485377?boutiqueId=61&merchantId=982060
44,,28.2,4.8,380127062,Genel Markalar Organik Kumaş Fitilli 5 Parça Hastane Çıkışı Set,Genel Markalar,Furyatex,239.5,,,InStock,,4.3,,,302,"[""20 TL Kupon"",""Sepette %1 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/genel-markalar/organik-kumas-fitilli-5-parca-hastane-cikisi-set-p-380127062?boutiqueId=61&merchantId=836669
45,,19.5,13,1113146700,My Kids Wear Kız Çocuk Deniz Yüzücü Mayoları 5-16 Yaş 12614,My Kids Wear,My Kids Wear,319,,,InStock,,4.1,,,74,"[""20 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,https://www.trendyol.com/my-kids-wear/kiz-cocuk-deniz-yuzucu-mayolari-5-16-yas-12614-p-1113146700?boutiqueId=61&merchantId=624822
46,,17.9,14.1,1086149880,"MİNNOŞŞ pelüş,welsoft tulum bebe",MİNNOŞŞ,FEYZA,199.99,,,InStock,,4.5,173,,99,"[""20 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 13 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/minnoss/pelus-welsoft-tulum-bebe-p-1086149880?boutiqueId=61&merchantId=893539
47,,17.1,14.4,247517099,Defacto Baskılı 5'li Pamuklu Patik Çorap Erkek Çocuk W8885A6NS,Defacto,DeFacto,249.99,,,InStock,,4.6,135,,9,"[""20 TL Kupon""]",Tahmini Teslim:,https://www.trendyol.com/defacto/baskili-5-li-pamuklu-patik-corap-erkek-cocuk-w8885a6ns-p-247517099?boutiqueId=61&merchantId=1188
48,,10.6,20.4,858277375,H&M Tüylü Ceket,H&M,H&M,699.99,,,InStock,,4.9,,,3,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/h-m/tuylu-ceket-p-858277375?boutiqueId=61&merchantId=982060
49,,22.6,7.9,37828416,Bitex Set Şampuan 200Ml + Sprey 100Ml,Bitex,PİGMENT KOZMETİK LTD. ŞTİ.,160.5,,,InStock,,4.4,658,,375,"[""Sepette %25 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",13 dakika 46 saniye içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/bitex/set-sampuan-200ml-sprey-100ml-p-37828416?boutiqueId=61&merchantId=207099
50,,21.3,8.7,736098188,Pijamayo Kısa Kollu Erkek Bebek Çocuk Aslan Baskılı Bone Ve Mayo Takımı,Pijamayo,PijaMayo,315.13,,,InStock,,4.6,454,,123,"[""20 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 13 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/pijamayo/kisa-kollu-erkek-bebek-cocuk-aslan-baskili-bone-ve-mayo-takimi-p-736098188?boutiqueId=61&merchantId=327579
51,,29.1,0.9,212062053,Seher Erkek Çocuk Beyaz Penye Atlet 6 Adet 0036,Seher,,278,,,InStock,,4.4,4381,,,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,https://www.trendyol.com/seher/erkek-cocuk-beyaz-penye-atlet-6-adet-0036-p-212062053?boutiqueId=61&merchantId=159186
52,,10.7,19.3,1164437029,Mai Perla Yenidoğan Organik Pamuk Gökkuşağı Desenli Patikli 4 Parça Bebek Hastane Çıkışı Seti,Mai Perla,Mai Perla,199.9,,,InStock,,4.6,,,3,"[""20 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 13 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/mai-perla/yenidogan-organik-pamuk-gokkusagi-desenli-patikli-4-parca-bebek-hastane-cikisi-seti-p-1164437029?boutiqueId=61&merchantId=290479
53,,25.5,4.5,87502008,Genel Markalar Bit Spreyi Ve Şampuan Tarak Set,Genel Markalar,Çiçek Life,170,,,InStock,,4.4,1546,,902,"[""Kargo Bedava""]",11 saat 13 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/genel-markalar/bit-spreyi-ve-sampuan-tarak-set-p-87502008?boutiqueId=61&merchantId=1293264
54,,10,20,1157437173,"Rüya Gezegeni 1 Adet Mini Taş - Kağıt - Makas Oyunu Anahtarlık , Parmak Oyuncağı , Parti Hediye , Stres Giderici Hediye",Rüya Gezegeni,Rüya Gezegeni,23.79,,,InStock,,4.1,17,,20,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/ruya-gezegeni/1-adet-mini-tas-kagit-makas-oyunu-anahtarlik-parmak-oyuncagi-parti-hediye-stres-giderici-hediye-p-1157437173?boutiqueId=61&merchantId=109643
55,,18.5,11.5,1076057609,Lui Baby 6'lı Paket Yenidoğan Bebek Pamuk Çorap 0/6 Ay,Lui Baby,Lui Baby,199.99,,,InStock,,4.8,,,9,"[""Sepette %1 İndirim"",""20 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",13 dakika 29 saniye içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/lui-baby/6-li-paket-yenidogan-bebek-pamuk-corap-0-6-ay-p-1076057609?boutiqueId=61&merchantId=655506
58,,23.4,6.6,137975483,Dolu Su Ve Kum Aktivite Masası Kırmızı 3070,Dolu,Happy Center,1676.99,,,InStock,,4.7,837,,416,"[""50 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 13 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/dolu/su-ve-kum-aktivite-masasi-kirmizi-3070-p-137975483?boutiqueId=61&merchantId=104968
59,,19.6,10.4,973845507,Nandy Home Tavşan Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,Nandy Kids,141.08,,,InStock,,4.6,279,,52,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",2 saat 13 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/nandy-home/tavsan-model-karakter-figuru-3d-yapi-oyuncaklari-p-973845507?boutiqueId=61&merchantId=744768
61,,19.9,10.1,943669033,Kiko Kids Unibella Unicorn Kız Çocuk Topuklu Simli Abiye Terlik,Kiko Kids,Kiko Kids,834.22,,,InStock,,4.5,,,21,"[""Sepette %2 İndirim"",""50 TL Kupon"",""Kargo Bedava"",""Sepette %5 İndirim"",""Trendyol Plus'a Özel""]",2 saat 13 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/kiko-kids/unibella-unicorn-kiz-cocuk-topuklu-simli-abiye-terlik-p-943669033?boutiqueId=61&merchantId=719604
62,,17.3,12.7,1078189326,ECRİN ÇANTA Anaokulu okul öncesi Süper kahramanlı çocuk sırt çantası,ECRİN ÇANTA,Ecrin çanta,599,,,InStock,,4.8,,,23,"[""Kargo Bedava""]",11 saat 13 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/ecrin-canta/anaokulu-okul-oncesi-super-kahramanli-cocuk-sirt-cantasi-p-1078189326?boutiqueId=61&merchantId=681714
64,,29.8,0.2,744257435,Canestar Sevgiliye Özel Hediye Çilek Tavşan Özel Tasarım- Fermuarlı Yapısıyla Hem Çilek Hem de Tavşan,Canestar,Canestar,399,,,InStock,,4.3,,,392,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/canestar/sevgiliye-ozel-hediye-cilek-tavsan-ozel-tasarim-fermuarli-yapisiyla-hem-cilek-hem-de-tavsan-p-744257435?boutiqueId=61&merchantId=512325
65,,21.5,8.5,410708251,ENCİVA Isimli Bebek Anne Anı Küpleri Dekor Türkçe 5’li Set Isimli Ahşap Anı Küpü,ENCİVA,ENCİVAN,199.95,,,InStock,,3.9,485,,1827,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/enciva/isimli-bebek-anne-ani-kupleri-dekor-turkce-5-li-set-isimli-ahsap-ani-kupu-p-410708251?boutiqueId=61&merchantId=1188755
68,,21.9,8.1,834350115,Galatasaray Galatasaray Çocuk 24 Şampiyonluk T-Shirt C241367,Galatasaray,GSStore,119.99,,,InStock,,4.8,538,,118,"[""Kargo Bedava""]",11 saat 12 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/galatasaray/galatasaray-cocuk-24-sampiyonluk-t-shirt-c241367-p-834350115?boutiqueId=61&merchantId=2844
70,,27.4,2.6,118635846,Genel Markalar Ribana Bel Canvas Okul Pantolonu (BİR BÜYÜK BEDEN ALINMASI TAVSİYE EDİLİR),Genel Markalar,KAYRAMLE DESING,290,,,InStock,,4.2,,,665,"[""20 TL Kupon"",""Sepette %5 İndirim"",""Kargo Bedava""]",11 saat 12 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/genel-markalar/ribana-bel-canvas-okul-pantolonu-bir-buyuk-beden-alinmasi-tavsiye-edilir-p-118635846?boutiqueId=61&merchantId=800080
71,,25.3,4.7,767102785,"Kayyum Oyuncak Söktak Eğlenceli, Stres ve Anksiyete giderici Montessori Tırtıl Oyuncağı Renkli",Kayyum Oyuncak,MK TOYS,134.99,,,InStock,,4.7,1453,,228,"[""Kargo Bedava""]",11 saat 12 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/kayyum-oyuncak/soktak-eglenceli-stres-ve-anksiyete-giderici-montessori-tirtil-oyuncagi-renkli-p-767102785?boutiqueId=61&merchantId=1135810
72,,13.1,16.9,1166210359,FunkyCraft Mini Canavar Araba Oyuncak Büyük Tekerlekli Arazi Arabası Erkek Çocuk Oyuncağı Eğlenceli Araba Koleksiyonu,FunkyCraft,FunkyCraft,24.99,,,InStock,,4.8,42,,16,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/funkycraft/mini-canavar-araba-oyuncak-buyuk-tekerlekli-arazi-arabasi-erkek-cocuk-oyuncagi-eglenceli-araba-koleksiyonu-p-1166210359?boutiqueId=61&merchantId=1282015
73,,27,3,691009501,Pufu Toys Zürafa Peluş Oyuncak (1 METRE) Yastık,Pufu Toys,PufuToys,585.12,,,InStock,,4.8,2361,,365,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",12 dakika 38 saniye içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/pufu-toys/zurafa-pelus-oyuncak-1-metre-yastik-p-691009501?boutiqueId=61&merchantId=819535
74,,14,16,1149737010,PAKİTO Minecraft Manyetik Küp Bloklar 108 Parça Temalı Yapı Seti 3 Boyutlu Renkli Mıknatıslı | Eğitici Zeka Geliştirici Oyuncak,PAKİTO,LUMO STORE,1320.5,,,InStock,,4.2,55,,18,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",1 saat 12 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/pakito/minecraft-manyetik-kup-bloklar-108-parca-temali-yapi-seti-3-boyutlu-renkli-miknatisli-egitici-zeka-gelistirici-oyuncak-p-1149737010?boutiqueId=61&merchantId=1230100
76,,12.4,17.6,1148437877,KİNKU Örümcek Adam Vantuz Fırlatan Eldiven,KİNKU,KİNKU,149,,,InStock,,3.8,34,,20,"[""Kargo Bedava""]",2 saat 12 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/kinku/orumcek-adam-vantuz-firlatan-eldiven-p-1148437877?boutiqueId=61&merchantId=752303
79,,30.3,0,177023193,Tutku 6lı Erkek Çocuk Renkli Atlet Pamuklu Askılı Empirme Elastan,Tutku,TUTKU ELİT,387,,,InStock,,4.6,,,925,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",11 saat 12 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/tutku/6li-erkek-cocuk-renkli-atlet-pamuklu-askili-empirme-elastan-p-177023193?boutiqueId=61&merchantId=916075
82,,5.6,24.4,1160337071,H&M Muflon Astarlı Ceket,H&M,H&M,1099,,,InStock,,4.9,4,,6,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,https://www.trendyol.com/h-m/muflon-astarli-ceket-p-1160337071?boutiqueId=61&merchantId=982060
83,,3.8,26.2,1117300207,Defacto 5'li Pamuklu Patik Çorap Erkek Çocuk G2026A8NS,Defacto,DeFacto,249.99,,,InStock,,5,2,,1,"[""20 TL Kupon"",""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/defacto/5-li-pamuklu-patik-corap-erkek-cocuk-g2026a8ns-p-1117300207?boutiqueId=61&merchantId=1188
85,,13.5,16.5,1088703783,Nandy Home Civciv Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,Nandy Kids,133.95,,,InStock,,4.7,48,,9,"[""Kargo Bedava""]",2 saat 12 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/nandy-home/civciv-model-karakter-figuru-3d-yapi-oyuncaklari-p-1088703783?boutiqueId=61&merchantId=744768
87,,12.3,17.7,1154388172,PRO Toys Harekete duyarlı Işık/LED Üç kademe Ayarlanabilir ve Katlanabilir Frenli PRO Çocuk Scooter,PRO Toys,PRO Toys,1237.52,,,InStock,,4.8,,,22,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,https://www.trendyol.com/pro-toys/harekete-duyarli-isik-led-uc-kademe-ayarlanabilir-ve-katlanabilir-frenli-pro-cocuk-scooter-p-1154388172?boutiqueId=61&merchantId=1122866
90,,19.8,10.2,930525000,Genel Markalar Pilli Işıklı Köpük Tabancası Baloncuk Tabancası,Genel Markalar,ÜÇLER,299,,,InStock,,3.5,,,90,"[""Kargo Bedava""]",11 saat 11 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/genel-markalar/pilli-isikli-kopuk-tabancasi-baloncuk-tabancasi-p-930525000?boutiqueId=61&merchantId=1292014
94,,18,12,1139242439,PAKİTO Manyetik 72 Parça Yapı Blokları Original -Mıknatıslı Manyetik Bloklar,PAKİTO,LUMO STORE,3499,,,InStock,,4.6,177,,49,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",1 saat 11 dakika içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/pakito/manyetik-72-parca-yapi-bloklari-original-miknatisli-manyetik-bloklar-p-1139242439?boutiqueId=61&merchantId=1230100
96,,8,22,1171718636,H&M Pamuklu ve Desenli Pijama Takımı,H&M,H&M,549.99,,,InStock,,4.9,,,2,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/h-m/pamuklu-ve-desenli-pijama-takimi-p-1171718636?boutiqueId=61&merchantId=982060
98,,8,22,1088677164,H&M Muflon Ceket,H&M,H&M,479.99,,,InStock,,4.8,9,,1,"[""Kargo Bedava""]",Tahmini Teslim:,https://www.trendyol.com/h-m/muflon-ceket-p-1088677164?boutiqueId=61&merchantId=982060
99,,9.8,20.2,1134495813,ORVİCA Çocuklar Için Atlama Zıplama Oyuncağı Boy Uzatıcı Eğitici Fiziksel Ve Zihinsel Geliştirici Spor Oyun,ORVİCA,ORVİCA TR,189,,,InStock,,4.2,16,,16,"[""Kargo Bedava""]",11 dakika 22 saniye içinde sipariş verirsen en geç bugün kargoda!,https://www.trendyol.com/orvica/cocuklar-icin-atlama-ziplama-oyuncagi-boy-uzatici-egitici-fiziksel-ve-zihinsel-gelistirici-spor-oyun-p-1134495813?boutiqueId=61&merchantId=1219946
100,,17.1,12.9,1136095009,Moose Mood Phuket Çift Taraflı Kullanılabilir UV Korumalı Deniz Plaj Havuz Çocuk Bebek Şapka,Moose Mood,Moose Mood,647,,,InStock,,4.7,,,43,"[""Kargo Bedava""]",11 saat 11 dakika içinde sipariş verirsen en geç yarın kargoda!,https://www.trendyol.com/moose-mood/phuket-cift-tarafli-kullanilabilir-uv-korumali-deniz-plaj-havuz-cocuk-bebek-sapka-p-1136095009?boutiqueId=61&merchantId=643578
